code,service,time,from
RG000838117IS,InternationalLetter,2022-07-12T16:26:37+00:00,Pósthús Síðumúla 3-5
RG000838125IS,InternationalLetter,2022-07-12T16:35:33+00:00,Pósthús Hagatorgi 1
CG004005839IS,InternationalParcel,2022-04-12T11:37:24+00:00,Pósthús Höfðabakka 9 C
RG000838134IS,InternationalLetter,2022-07-12T16:50:45+00:00,Pósthús Höfðabakka 9 C
RG000838148IS,InternationalLetter,2022-07-13T14:10:00+00:00,Pósthús Höfðabakka 9 C
RG000838151IS,InternationalLetter,2022-07-13T09:52:41+00:00,Pósthús Hagatorgi 1
RG000838165IS,InternationalLetter,2022-07-13T11:49:55+00:00,Pósthús Kópavogi
CG004005873IS,InternationalParcel,2022-04-11T14:45:47+00:00,Pósthús Þönglabakka 4
RG000838179IS,InternationalLetter,na,na
RG000838182IS,InternationalLetter,2022-07-13T12:46:01+00:00,Póstmiðstöð
RG000838196IS,InternationalLetter,2022-07-13T12:46:10+00:00,Póstmiðstöð
RG000838205IS,InternationalLetter,2022-07-13T13:13:41+00:00,Pósthús Selfossi
RG000838219IS,InternationalLetter,na,na
RG000838222IS,InternationalLetter,2022-07-13T17:09:11+00:00,Póstmiðstöð
CG004005927IS,InternationalParcel,2022-04-12T15:28:31+00:00,Pósthús Reykjanesbæ
RG000838236IS,InternationalLetter,2022-07-13T17:08:00+00:00,Póstmiðstöð
RG000838240IS,InternationalLetter,2022-07-13T17:08:06+00:00,Póstmiðstöð
CG004005944IS,InternationalParcel,2022-04-11T15:02:45+00:00,Pósthús Akureyri
RG000838253IS,InternationalLetter,2022-07-13T17:08:22+00:00,Póstmiðstöð
RG000838267IS,InternationalLetter,2022-07-13T17:09:06+00:00,Póstmiðstöð
RG000838275IS,InternationalLetter,2022-07-13T17:09:16+00:00,Póstmiðstöð
RG000838284IS,InternationalLetter,2022-07-13T17:08:11+00:00,Póstmiðstöð
RG000838298IS,InternationalLetter,2022-07-13T17:08:17+00:00,Póstmiðstöð
RG000838307IS,InternationalLetter,2022-07-13T17:08:27+00:00,Póstmiðstöð
RG000838315IS,InternationalLetter,2022-07-13T17:08:32+00:00,Póstmiðstöð
RG000838324IS,InternationalLetter,2022-07-13T17:08:37+00:00,Póstmiðstöð
CG004006026IS,InternationalParcel,2022-04-11T15:18:25+00:00,Pósthús Höfðabakka 9 C
RG000838338IS,InternationalLetter,2022-07-13T15:22:23+00:00,Pósthús Síðumúla 3-5
RG000838341IS,InternationalLetter,2022-07-13T15:23:29+00:00,Pósthús Síðumúla 3-5
RG000838355IS,InternationalLetter,2022-07-13T15:23:28+00:00,Pósthús Síðumúla 3-5
RG000838369IS,InternationalLetter,2022-07-13T15:23:28+00:00,Pósthús Síðumúla 3-5
RG000838372IS,InternationalLetter,2022-07-13T15:23:27+00:00,Pósthús Síðumúla 3-5
RG000838386IS,InternationalLetter,na,na
RG000838390IS,InternationalLetter,2022-07-13T15:23:27+00:00,Pósthús Síðumúla 3-5
RG000838409IS,InternationalLetter,2022-07-13T15:23:26+00:00,Pósthús Síðumúla 3-5
RG000838412IS,InternationalLetter,2022-07-13T15:23:26+00:00,Pósthús Síðumúla 3-5
RG000838426IS,InternationalLetter,2022-07-13T15:22:23+00:00,Pósthús Síðumúla 3-5
RG000838430IS,InternationalLetter,na,na
RG000838443IS,InternationalLetter,2022-07-13T15:23:25+00:00,Pósthús Síðumúla 3-5
RG000838457IS,InternationalLetter,2022-07-13T10:06:26+00:00,Pósthús Síðumúla 3-5
RG000838465IS,InternationalLetter,2022-07-13T11:04:27+00:00,Pósthús Egilsstöðum
RG000838474IS,InternationalLetter,na,na
RG000838488IS,InternationalLetter,2022-07-13T16:41:27+00:00,Póstmiðstöð
RG000838491IS,InternationalLetter,2022-07-13T15:00:24+00:00,Pósthús Hafnarfirði
RG000838505IS,InternationalLetter,2022-07-13T10:13:49+00:00,Pósthús Hafnarfirði
RG000838514IS,InternationalLetter,2022-07-13T10:14:29+00:00,Pósthús Reykjanesbæ
RG000838528IS,InternationalLetter,na,na
RG000838531IS,InternationalLetter,2022-07-13T14:18:43+00:00,Póstmiðstöð
RG000838545IS,InternationalLetter,2022-07-13T14:18:49+00:00,Póstmiðstöð
RG000838559IS,InternationalLetter,2022-07-13T15:23:24+00:00,Pósthús Síðumúla 3-5
RG000838562IS,InternationalLetter,2022-07-13T10:24:10+00:00,Pósthús Höfðabakka 9 C
RG000838576IS,InternationalLetter,na,na
RG000838580IS,InternationalLetter,2022-07-13T10:37:44+00:00,Pósthús Þönglabakka 4
RG000838593IS,InternationalLetter,na,na
RG000838602IS,InternationalLetter,2022-07-13T12:19:43+00:00,Pósthús Hagatorgi 1
RG000838616IS,InternationalLetter,2022-07-13T10:58:50+00:00,Pósthús Höfðabakka 9 C
RG000838620IS,InternationalLetter,na,na
RG000838633IS,InternationalLetter,2022-07-13T15:23:24+00:00,Pósthús Síðumúla 3-5
RG000838647IS,InternationalLetter,na,na
RG000838655IS,InternationalLetter,na,na
RG000838664IS,InternationalLetter,2022-07-13T11:33:53+00:00,Pósthús Kópavogi
RG000838678IS,InternationalLetter,2022-07-13T11:34:46+00:00,Pósthús Síðumúla 3-5
RG000838681IS,InternationalLetter,2022-07-13T12:17:20+00:00,Pósthús Selfossi
RG000838695IS,InternationalLetter,2022-07-13T12:16:56+00:00,Pósthús Kópavogi
RG000838704IS,InternationalLetter,2022-07-13T16:31:20+00:00,Póstmiðstöð
RG000838718IS,InternationalLetter,2022-07-13T16:33:21+00:00,Póstmiðstöð
RG000838721IS,InternationalLetter,2022-07-13T16:33:14+00:00,Póstmiðstöð
CG004006423IS,InternationalParcel,2022-04-13T09:41:00+00:00,210
RG000838735IS,InternationalLetter,2022-07-13T12:22:52+00:00,Pósthús Hafnarfirði
RG000838749IS,InternationalLetter,2022-07-13T16:33:06+00:00,Póstmiðstöð
CG004006445IS,InternationalParcel,na,na
RG000838752IS,InternationalLetter,2022-07-13T12:48:36+00:00,Pósthús Akureyri
RG000838766IS,InternationalLetter,2022-07-13T12:56:17+00:00,Pósthús Kópavogi
RG000838770IS,InternationalLetter,2022-07-13T16:32:38+00:00,Póstmiðstöð
RG000838783IS,InternationalLetter,2022-07-13T12:33:52+00:00,Pósthús Hafnarfirði
RG000838797IS,InternationalLetter,2022-07-13T12:49:57+00:00,Pósthús Höfðabakka 9 C
RG000838806IS,InternationalLetter,2022-07-13T16:34:01+00:00,Póstmiðstöð
RG000838810IS,InternationalLetter,2022-07-13T12:53:41+00:00,Pósthús Þönglabakka 4
CG004006511IS,InternationalParcel,2022-04-20T15:19:49+00:00,Pósthús Síðumúla 3-5
RG000838823IS,InternationalLetter,2022-07-13T12:54:17+00:00,Pósthús Hafnarfirði
RG000838837IS,InternationalLetter,2022-07-13T13:07:01+00:00,Pósthús Hagatorgi 1
RG000838845IS,InternationalLetter,2022-07-13T13:47:54+00:00,Pósthús Reykjanesbæ
RG000838854IS,InternationalLetter,na,na
RG000838868IS,InternationalLetter,2022-07-13T13:13:44+00:00,Pósthús Höfðabakka 9 C
CG004006573IS,InternationalParcel,na,na
RG000838871IS,InternationalLetter,na,na
RG000838885IS,InternationalLetter,2022-07-13T13:17:32+00:00,Pósthús Síðumúla 3-5
CG004006595IS,InternationalParcel,na,na
RG000838899IS,InternationalLetter,2022-07-13T16:36:44+00:00,Póstmiðstöð
RG000838908IS,InternationalLetter,na,na
RG000838911IS,InternationalLetter,2022-07-13T16:36:03+00:00,Póstmiðstöð
CG004006627IS,InternationalParcel,na,na
RG000838925IS,InternationalLetter,2022-07-13T13:30:54+00:00,Pósthús Reykjanesbæ
RG000838939IS,InternationalLetter,na,na
RG000838942IS,InternationalLetter,2022-07-13T13:50:58+00:00,Pósthús Höfn
RG000838956IS,InternationalLetter,2022-07-13T13:55:51+00:00,Pósthús Kópavogi
RG000838960IS,InternationalLetter,2022-07-13T13:57:51+00:00,Pósthús Hagatorgi 1
RG000838973IS,InternationalLetter,2022-07-13T14:10:33+00:00,Pósthús Selfossi
RG000838987IS,InternationalLetter,2022-07-13T14:08:22+00:00,Pósthús Hagatorgi 1
RG000838995IS,InternationalLetter,na,na
RG000839007IS,InternationalLetter,na,na
CG004006701IS,InternationalParcel,na,na
RG000839015IS,InternationalLetter,2022-07-13T14:22:40+00:00,Pósthús Hagatorgi 1
RG000839024IS,InternationalLetter,2022-07-13T14:22:39+00:00,Pósthús Hagatorgi 1
RG000839038IS,InternationalLetter,2022-07-13T14:26:54+00:00,Pósthús Hagatorgi 1
RG000839041IS,InternationalLetter,na,na
RG000839055IS,InternationalLetter,na,na
RG000839069IS,InternationalLetter,na,na
RG000839072IS,InternationalLetter,na,na
RG000839086IS,InternationalLetter,na,na
RG000839090IS,InternationalLetter,2022-07-13T15:30:33+00:00,Pósthús Borgarnesi
RG000839109IS,InternationalLetter,na,na
RG000839112IS,InternationalLetter,2022-07-13T15:36:29+00:00,Pósthús Selfossi
RG000839126IS,InternationalLetter,2022-07-13T15:44:34+00:00,Pósthús Akureyri
RG000839130IS,InternationalLetter,2022-07-13T16:04:41+00:00,Pósthús Kópavogi
RG000839143IS,InternationalLetter,2022-07-13T16:22:00+00:00,Pósthús Hagatorgi 1
RG000839157IS,InternationalLetter,na,na
RG000839165IS,InternationalLetter,2022-07-13T16:22:32+00:00,Pósthús Þönglabakka 4
RG000839174IS,InternationalLetter,2022-07-13T16:24:15+00:00,Pósthús Höfðabakka 9 C
CG004006879IS,InternationalParcel,2022-04-12T11:59:11+00:00,Pósthús Höfðabakka 9 C
RG000839188IS,InternationalLetter,2022-07-13T16:56:33+00:00,Pósthús Hagatorgi 1
RG000839191IS,InternationalLetter,2022-07-13T16:58:20+00:00,Pósthús Síðumúla 3-5
RG000839205IS,InternationalLetter,2022-07-13T17:01:44+00:00,Pósthús Kópavogi
RG000839214IS,InternationalLetter,na,na
RG000839228IS,InternationalLetter,na,na
RG000839231IS,InternationalLetter,na,na
CG004006936IS,InternationalParcel,2022-04-12T12:47:30+00:00,Pósthús Síðumúla 3-5
